# generation power_min power_avg power_max util_min util_avg util_max
24700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
24900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
25900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
26900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
27900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
28900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
29900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
30900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
